Date,year,site,id,Trap,body,Sex,bodysize,totalarea,area,head,thorax,abdomen,pronotum,elytra,presence,bighead,bigthorax,bigabdomen,bigpronotum,bigelytra,bignum,predbighead,predbigthorax,predbigabdomen,predbigpronotum,predbigelytra,newbigmiteintensity,oldbigintensity,smallhead,smallthorax,smallabdomen,smallpronotum,smallelytra,smallnum,newsmallmiteintensity,oldsmallintensity
23/08/2018,2018,G,775,G1,head,f,5.32,153.35328,11.82652,11.82652,32.55408,33.8134,17.61328,57.546,big,1,4,0,0,0,5,0.38559723,1.061408012,1.102467453,0.574271382,1.876255924,0.084555727,0.032604454,0,0,0,0,0,0,0,0
23/08/2018,2018,G,776,G1,head,m,4.39,109.43031,8.53804,8.53804,23.67816,24.98305,11.93656,40.2945,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2018,2018,G,777,G1,head,m,4.48,113.68092,8.85628,8.85628,24.53712,25.8376,12.48592,41.964,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2018,2018,G,778,G1,head,f,4.92,134.46168,10.41212,10.41212,28.73648,30.0154,15.17168,50.126,big,0,1,0,0,0,1,0.077435594,0.213715015,0.223226424,0.112832742,0.372790225,0,0.007437063,0,0,0,0,0,0,0,0
23/08/2018,2018,G,779,G1,head,f,4.61,119.82069,9.31596,9.31596,25.77784,27.07195,13.27944,44.3755,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2018,2018,G,780,G1,head,m,4.17,99.03993,7.76012,7.76012,21.57848,22.89415,10.59368,36.2135,big,0,1,0,0,0,1,0.078353448,0.217876568,0.231160806,0.106963727,0.365645452,0,0.010096938,0,0,0,0,0,0,0,0
23/08/2018,2018,G,784,G1,head,m,5.17,146.26893,11.29612,11.29612,31.12248,32.38915,16.69768,54.7635,big,2,1,0,0,0,3,0.231685294,0.638327224,0.664306835,0.342472185,1.123208463,0.177051943,0.020510166,0,0,0,0,0,0,0,0
23/08/2018,2018,G,785,G1,head,f,4.45,112.26405,8.7502,8.7502,24.2508,25.55275,12.3028,41.4075,big,1,4,0,0,0,5,0.38971514,1.080078618,1.138064679,0.547940325,1.844201238,0.114283102,0.044537855,0,0,0,0,0,0,0,0
23/08/2018,2018,G,786,G1,head,f,5.34,154.29786,11.89724,11.89724,32.74496,34.0033,17.73536,57.917,big,0,1,0,0,0,1,0.077105671,0.212219145,0.220374411,0.114942359,0.375358414,0,0.006480971,0,0,0,0,0,0,0,0
23/08/2018,2018,G,787,G1,head,m,4.31,105.65199,8.25516,8.25516,22.91464,24.22345,11.44824,38.8105,big,1,2,0,0,0,3,0.234406186,0.65066375,0.687827555,0.325074047,1.102028462,0.121136356,0.028395111,0,0,0,0,0,0,0,0
23/08/2018,2018,G,788,G1,head,m,5.36,155.24244,11.96796,11.96796,32.93584,34.1932,17.85744,58.288,big,4,0,0,0,0,4,0.308368253,0.848629795,0.881027121,0.460117478,1.501857353,0.334225716,0.02576615,0,0,0,0,0,0,0,0
23/08/2018,2018,G,789,G1,head,f,5.58,165.63282,12.74588,12.74588,35.03552,36.2821,19.20032,62.369,big,0,12,0,0,0,12,0.923431479,2.538302735,2.62861672,1.391051846,4.51859722,0,0.072449409,0,0,0,0,0,0,0,0
23/08/2018,2018,G,790,G1,head,m,5.01,138.71229,10.73036,10.73036,29.59544,30.86995,15.72104,51.7955,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2018,2018,G,792,G1,head,f,5.13,144.37977,11.15468,11.15468,30.74072,32.00935,16.45352,54.0215,both,2,0,0,0,0,2,0.1545186,0.425831403,0.443404917,0.22792002,0.74832506,0.179296941,0.013852356,0,0,1,0,0,1,0,0.006926178
23/08/2018,2018,G,793,G1,head,f,4.85,131.15565,10.1646,10.1646,28.0684,29.35075,14.7444,48.8275,big,0,2,0,0,0,2,0.155000566,0.428016635,0.447571264,0.224838198,0.744573337,0,0.015249057,0,0,0,0,0,0,0,0
23/08/2018,2018,G,794,G1,head,m,4.47,113.20863,8.82092,8.82092,24.44168,25.74265,12.42488,41.7785,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/08/2018,2018,G,795,G1,head,f,4.84,130.68336,10.12924,10.12924,27.97296,29.2558,14.68336,48.642,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
