id,tr,body,mite,num,newintensity,bodysize,sex,bignum,bigintensity,smallnum,smallintensity,naturalsetting
1,l50s50,head,P. carabi,0,0,4.88,f,1,0.007534566,50,0.376728316,0
1,l50s50,head,P. carabi,0,0,4.88,f,5,0.037672832,50,0.376728316,0
1,l50s50,head,P. carabi,0,0,4.88,f,10,0.075345663,50,0.376728316,0
1,l50s50,head,P. carabi,0,0,4.88,f,25,0.188364158,50,0.376728316,0
1,l50s50,head,P. carabi,0,0,4.88,f,50,0.376728316,50,0.376728316,0
2,l50s50,head,P. carabi,0,0,5.02,f,1,0.0071754,50,0.358769982,0
2,l50s50,head,P. carabi,1,0.107677399,5.02,f,5,0.035876998,50,0.358769982,0
2,l50s50,head,P. carabi,3,0.323032196,5.02,f,10,0.071753996,50,0.358769982,0
2,l50s50,head,P. carabi,1,0.107677399,5.02,f,25,0.179384991,50,0.358769982,0
2,l50s50,head,P. carabi,9,0.969096587,5.02,f,50,0.358769982,50,0.358769982,0
3,l50s50,head,P. carabi,1,0.082610492,5.19,f,1,0.006782785,50,0.339139239,0
3,l50s50,head,P. carabi,3,0.247831475,5.19,f,5,0.033913924,50,0.339139239,0
3,l50s50,head,P. carabi,1,0.082610492,5.19,f,10,0.067827848,50,0.339139239,0
3,l50s50,head,P. carabi,2,0.165220983,5.19,f,25,0.169569619,50,0.339139239,0
3,l50s50,head,P. carabi,1,0.082610492,5.19,f,50,0.339139239,50,0.339139239,0
8,l50s1,head,P. carabi,0,0,4.53,m,1,0.008612293,1,0.008612293,1
8,l50s1,head,P. carabi,1,0.102312257,4.53,m,5,0.043061467,1,0.008612293,1
8,l50s1,head,P. carabi,1,0.102312257,4.53,m,10,0.086122934,1,0.008612293,1
8,l50s1,head,P. carabi,3,0.306936771,4.53,m,25,0.215307335,1,0.008612293,1
8,l50s1,head,P. carabi,6,0.613873542,4.53,m,50,0.430614671,1,0.008612293,1
9,l50s1,head,P. carabi,0,0,5.09,f,1,0.007008358,1,0.007008358,1
9,l50s1,head,P. carabi,1,0.076852136,5.09,f,5,0.035041791,1,0.007008358,1
9,l50s1,head,P. carabi,1,0.076852136,5.09,f,10,0.070083582,1,0.007008358,1
9,l50s1,head,P. carabi,1,0.076852136,5.09,f,25,0.175208956,1,0.007008358,1
9,l50s1,head,P. carabi,2,0.153704273,5.09,f,50,0.350417912,1,0.007008358,1
16,l50s1,head,P. carabi,0,0,4.14,f,1,0.010245228,1,0.010245228,1
16,l50s1,head,P. carabi,2,0.289729103,4.14,f,5,0.051226139,1,0.010245228,1
16,l50s1,head,P. carabi,1,0.144864552,4.14,f,10,0.102452277,1,0.010245228,1
16,l50s1,head,P. carabi,1,0.144864552,4.14,f,25,0.256130693,1,0.010245228,1
16,l50s1,head,P. carabi,0,0,4.14,f,50,0.512261386,1,0.010245228,1
17,l50s1,head,P. carabi,0,0,4.15,f,1,0.01019566,1,0.01019566,1
17,l50s1,head,P. carabi,0,0,4.15,f,5,0.050978299,1,0.01019566,1
17,l50s1,head,P. carabi,1,0.108873163,4.15,f,10,0.101956598,1,0.01019566,1
17,l50s1,head,P. carabi,3,0.326619488,4.15,f,25,0.254891495,1,0.01019566,1
17,l50s1,head,P. carabi,1,0.108873163,4.15,f,50,0.50978299,1,0.01019566,1
18,l50s1,head,P. carabi,1,0.112410072,4.58,f,1,0.008439834,1,0.008439834,1
18,l50s1,head,P. carabi,3,0.337230216,4.58,f,5,0.042199171,1,0.008439834,1
18,l50s1,head,P. carabi,4,0.449640288,4.58,f,10,0.084398342,1,0.008439834,1
18,l50s1,head,P. carabi,11,1.236510791,4.58,f,25,0.210995855,1,0.008439834,1
18,l50s1,head,P. carabi,4,0.449640288,4.58,f,50,0.42199171,1,0.008439834,1
19,l50s1,head,P. carabi,0,0,4.88,f,1,0.007534566,1,0.007534566,1
19,l50s1,head,P. carabi,0,0,4.88,f,5,0.037672832,1,0.007534566,1
19,l50s1,head,P. carabi,5,0.5249895,4.88,f,10,0.075345663,1,0.007534566,1
19,l50s1,head,P. carabi,4,0.4199916,4.88,f,25,0.188364158,1,0.007534566,1
19,l50s1,head,P. carabi,4,0.4199916,4.88,f,50,0.376728316,1,0.007534566,1
20,l50s1,head,P. carabi,0,0,4.95,f,1,0.007350598,1,0.007350598,1
20,l50s1,head,P. carabi,2,0.203107545,4.95,f,5,0.036752991,1,0.007350598,1
20,l50s1,head,P. carabi,1,0.101553773,4.95,f,10,0.073505982,1,0.007350598,1
20,l50s1,head,P. carabi,4,0.406215091,4.95,f,25,0.183764954,1,0.007350598,1
20,l50s1,head,P. carabi,1,0.101553773,4.95,f,50,0.367529909,1,0.007350598,1
21,l50s1,head,P. carabi,0,0,5.04,f,1,0.007126866,1,0.007126866,1
21,l50s1,head,P. carabi,2,0.176289114,5.04,f,5,0.035634332,1,0.007126866,1
21,l50s1,head,P. carabi,3,0.264433671,5.04,f,10,0.071268665,1,0.007126866,1
21,l50s1,head,P. carabi,3,0.264433671,5.04,f,25,0.178171662,1,0.007126866,1
21,l50s1,head,P. carabi,4,0.352578228,5.04,f,50,0.356343325,1,0.007126866,1
22,l50s1,head,P. carabi,0,0,5.18,f,1,0.006804687,1,0.006804687,1
22,l50s1,head,P. carabi,1,0.079713033,5.18,f,5,0.034023433,1,0.006804687,1
22,l50s1,head,P. carabi,2,0.159426066,5.18,f,10,0.068046866,1,0.006804687,1
22,l50s1,head,P. carabi,3,0.239139099,5.18,f,25,0.170117164,1,0.006804687,1
22,l50s1,head,P. carabi,3,0.239139099,5.18,f,50,0.340234329,1,0.006804687,1
23,l50s1,head,P. carabi,0,0,5.38,f,1,0.006391894,1,0.006391894,1
23,l50s1,head,P. carabi,1,0.071448985,5.38,f,5,0.031959472,1,0.006391894,1
23,l50s1,head,P. carabi,1,0.071448985,5.38,f,10,0.063918945,1,0.006391894,1
23,l50s1,head,P. carabi,4,0.285795942,5.38,f,25,0.159797362,1,0.006391894,1
23,l50s1,head,P. carabi,0,0,5.38,f,50,0.319594723,1,0.006391894,1
24,l50s3,head,P. carabi,0,0,3.96,f,1,0.01122777,3,0.03368331,1
24,l50s3,head,P. carabi,2,0.256344527,3.96,f,5,0.056138851,3,0.03368331,1
24,l50s3,head,P. carabi,1,0.128172264,3.96,f,10,0.112277701,3,0.03368331,1
24,l50s3,head,P. carabi,1,0.128172264,3.96,f,25,0.280694253,3,0.03368331,1
24,l50s3,head,P. carabi,1,0.128172264,3.96,f,50,0.561388507,3,0.03368331,1
25,l50s3,head,P. carabi,0,0,4.29,f,1,0.009548876,3,0.028646627,1
25,l50s3,head,P. carabi,3,0.511683439,4.29,f,5,0.047744379,3,0.028646627,1
