pair,wt,bl,male,female,mitetr,mitenum
1,13.81,1,7,10,P. carabi,145
2,12.35,1,8,1,P. carabi,128
3,7.9,1,6,1,P. carabi,77
4,7.72,1,5,8,P. carabi,146
5,8.77,1,6,5,P. carabi,240
6,9.28,1,1,10,P. carabi,148
7,13.91,1,17,13,P. carabi,87
8,7.96,1,13,14,P. carabi,117
9,10.6,1,17,10,P. carabi,58
10,11.22,1,13,1,P. carabi,115
11,11.52,1,13,7,P. carabi,161
12,10.93,1,10,17,P. carabi,30
13,10.24,1,14,5,P. carabi,173
14,8.85,1,17,7,P. carabi,78
15,11.26,1,13,17,P. carabi,23
16,10.49,1,10,1,P. carabi,85
17,7.44,1,5,14,P. carabi,113
18,8.52,1,19,25,P. carabi,185
19,8.76,1,19,25,P. carabi,256
20,10.91,1,18,25,P. carabi,200
21,11.11,1,21,20,P. carabi,161
22,11.13,1,25,22,P. carabi,317
23,10.11,1,22,18,P. carabi,178
24,9.42,1,22,20,P. carabi,144
25,11.29,1,20,21,P. carabi,322
26,7.9,1,19,25,P. carabi,39
27,9,1,14,25,P. carabi,399
28,8.42,1,25,14,P. carabi,65
29,10.38,1,25,14,P. carabi,104
30,8.31,1,21,18,P. carabi,93
31,9.52,1,22,14,P. carabi,222
32,9.11,1,21,25,P. carabi,109
33,7.74,1,17,21,P. carabi,124
34,9.29,1,25,17,P. carabi,198
35,7.88,1,14,25,P. carabi,99
36,12.04,1,20,14,P. carabi,149
37,7.58,1,25,17,P. carabi,438
1,13.16,1,6,7,M. nataliae,5
2,9.28,1,5,6,M. nataliae,10
3,11.73,1,10,5,M. nataliae,4
4,14.51,1,9,7,M. nataliae,6
5,12.72,1,2,9,M. nataliae,10
6,9.78,1,9,8,M. nataliae,16
7,14.58,1,10,5,M. nataliae,8
8,14.02,1,10,17,M. nataliae,16
9,10.62,1,7,17,M. nataliae,14
10,13.75,1,13,2,M. nataliae,7
11,8.3,1,14,6,M. nataliae,17
12,7.63,1,5,10,M. nataliae,21
13,13.75,1,14,17,M. nataliae,12
14,9.99,1,13,17,M. nataliae,30
15,13.49,1,13,10,M. nataliae,14
16,7.94,1,19,20,M. nataliae,22
17,8.39,1,12,25,M. nataliae,55
18,9.3,1,22,9,M. nataliae,41
19,9.49,1,13,18,M. nataliae,11
20,8.95,1,22,19,M. nataliae,23
21,11.38,1,19,18,M. nataliae,21
22,8.79,1,19,12,M. nataliae,13
23,8.85,1,21,12,M. nataliae,17
24,7.93,1,21,18,M. nataliae,20
25,11.93,1,12,21,M. nataliae,20
26,8.62,1,29,21,M. nataliae,4
27,9.8,1,19,27,M. nataliae,10
28,8.06,1,27,22,M. nataliae,36
29,8.76,1,21,20,M. nataliae,10
30,9.36,1,18,21,M. nataliae,6
26,8.47,1,21,20,M. nataliae,17
1,9.91,2,3,11,P. carabi,7
2,10.35,2,7,14,P. carabi,21
3,10.75,2,3,11,P. carabi,69
4,9.82,2,16,14,P. carabi,66
5,8.86,2,14,6,P. carabi,13
6,9.21,2,9,16,P. carabi,29
7,9.57,2,14,7,P. carabi,107
8,9.12,2,3,14,P. carabi,28
9,10.5,2,6,15,P. carabi,25
10,10.62,2,10,9,P. carabi,22
1,9.8,2,9,15,M. nataliae,3
2,9.43,2,15,13,M. nataliae,3
3,10.67,2,13,7,M. nataliae,8
4,9.71,2,16,13,M. nataliae,5
5,9.02,2,6,16,M. nataliae,10
6,8.62,2,7,16,M. nataliae,5
7,9.84,2,15,7,M. nataliae,2
8,8.93,2,15,7,M. nataliae,5
10,9.63,2,15,9,M. nataliae,6
1,13.46,3,15,4,P. carabi,77
2,10.25,3,33,32,P. carabi,59
3,9.25,3,34,11,P. carabi,126
5,14.15,3,18,33,P. carabi,181
6,13.9,3,31,2,P. carabi,27
7,10.86,3,31,12,P. carabi,160
9,14.13,3,27,32,P. carabi,237
10,12.53,3,17,12,P. carabi,161
11,11.3,3,26,14,P. carabi,6
13,9.78,3,20,21,P. carabi,107
14,10.95,3,28,3,P. carabi,55
15,9.13,3,13,2,P. carabi,68
17,8.4,3,3,16,P. carabi,145
18,10.15,3,3,17,P. carabi,65
19,8.91,3,13,14,P. carabi,39
20,9.87,3,9,8,P. carabi,51
